name,address
Hazelburn Golf Course,"State Route 129 Cornersville, TN 37047"
Hickory Valley Golf Club,"2453 Hickory Valley Rd Chattanooga, TN 37421"
Hidden Valley Golf & Athletic Club,"307 Henderson Rd Jackson, TN 38305"
Hidden Valley Golf & Country Club,"201 Valley Dr Livingston, TN 38570"
Highland Green Golf Club,"3801 N Highland Ave Jackson, TN 38305"
Hillcrest Country Club,"200 Hillcrest Rd Pulaski, TN 38478"
Hillwood Country Club,"6201 Hickory Valley Rd Nashville, TN 37205"
Hohenwald Golf Course,"840 Columbia Hwy Hohenwald, TN 38462"
Holston Hills Country Club,"5200 Holston Hills Rd Knoxville, TN 37914"
Humboldt Golf & Country Club,"4700 East Main Humboldt, TN 38343"
Hunters Point Golf Club,"1500 Hunters Point Pike Lebanon, TN 37087"
Indian Hills Golf Club,"405 Calumet Trace Murfreesboro, TN 37127"
Ironwood Golf Course,"3801 Ironwood Rd Cookeville, TN 38501"
Jackson Country Club,"31 Jackson Country Club Ln Jackson, TN 38305"
Johnson City Country Club,"1903 E Unaka Ave Johnson City, TN 37601"
Kinser Park Golf Course,"Route 10 Kinter Park Ln Greeneville, TN 37744"
Knoxville Municipal Golf Course,"3925 Schaad Rd Knoxville, TN 37921"
LaFollette Country Club,"Country Club Rd LaFollette, TN 37766"
Lakehaven Golf & Country Club,"Lamontville Rd Decatur, TN 37322"
Lakeland Golf Course of Baneberry,"704 Harrison Ferry Rd Baneberry, TN 37890"
Lakeside Golf Course,"736 Paint Rock Ferry Rd Kingston, TN 37763"
Lakewood Country Club,"1900 Country Club Dr Tullahoma, TN 37388"
Lambert Acres Golf Club,"3402 Tuckaleechee Pike Maryville, TN 37803"
Lawrenceburg Golf & Country Club,"1901 W Gaines St Lawrenceburg, TN 38464"
Lebanon Golf & Country Club,"1300 Coles Ferry Pike Lebanon, TN 37087"
Legends Club of Tennessee,"1500 Legends Club Ln Franklin, TN 37069"
Link Hills Country Club,"1325 E Allens Bridge Rd Greeneville, TN 37743"
Long Hollow Golf Course,"1080 Long Hollow Pike Gallatin, TN 37066"
Lost Creek Golf Club,"824 Milligan Way New Market, TN 37820"
Macon County Golf Course,"Putter Ln Lafayette, TN 37083"
Madisonville Golf Course,"180 Golf Course Rd Madisonville, TN 37354"
Magic Valley Golf Course,"Eva Rd Camden, TN 38320"
Marshall County Recreation Center,"1551 Mooresville Hwy Lewisburg, TN 37091"
Mason Rudolph Golf Course,"1514 Golf Club Ln Clarksville, TN 37043"
McCabe Field Golf Course,"4601 Murphy Road Nashville, TN 37209"
McDonald Golf Club & Driving Range,"352 Guntown Rd Rogersville, TN 37857"
McMinnville Country Club,"Country Club Dr McMinnville, TN 37110"
Memphis National Golf Club,"2700 Houston Levee Rd Germantown, TN 38139"
Milan Golf & Country Club,"3079 Ledbetter Gate Rd Milan, TN 38358"
Millstone Golf Club,"450 Alpha Valley Home Rd Morristown, TN 37813"
Mirimichi,"6195 Woodstock Cuba Rd Millington, TN 38053"
Moccasin Bend Golf Club,"381 Moccasin Bend Rd Chattanooga, TN 37405"
Montlake Golf Course,"9104 Brow Lake Rd Soddy Daisy, TN 37379"
Morristown Golf & Country Club,"1180 Valley Home Rd Morristown, TN 37813"
Mt Pleasant Country Club,"7996 Enterprise Rd Mount Pleasant, TN 38474"
Mt. Airy Golf & Athletic Club,"US Hwy 127 Dunlap, TN 37327"
Nashboro Golf Club,"1101 Nashboro Blvd Nashville, TN 37217"
Nashville Golf & Athletic Club,"8231 Moores Ln E Brentwood, TN 37027"
Oak Hills Golf Course,"1928 Hygeia Rd Greenbrier, TN 37073"
Oak Ridge Country Club,"150 Gum Hollow Rd Oak Ridge, TN 37830"
Oakview Links,"218 Wheatley Newbern, TN 38059"
Old Fort Golf Club,"1028 Golf Ln Murfreesboro, TN 37129"
Old Hickory Country Club,"1904 Old Hickory Blvd Old Hickory, TN 37138"
Old Natchez Country Club,"1323 Sneed Rd W Franklin, TN 37069"
Old Stone Fort Golf Course,"1017 Country Club Dr Manchester, TN 37355"
Oneida Municipal Golf Course,"185 Fairway Ln Oneida, TN 37841"
Orgill Park Golf Course,"9080 Bethuel Rd Millington, TN 38053"
Overton Park Golf Course,"2080 Poplar Ave Memphis, TN 38104"
Paris Country Club,"195 Country Club Rd Paris, TN 38242"
Patriot Hills Golf Club,"735 Constitution Dr Jefferson City, TN 37760"
Percy Warner Golf Course,"1221 Forrest Park Dr Nashville, TN 37205"
Persimmon Hills Golf Course,"1696 Rock Hill Rd Sharon, TN 38255"
Pine Creek Golf Course,"1835 Logue Rd Mount Juliet, TN 37122"
Pine Hill Golf Course,"1005 Alice Ave Memphis, TN 38106"
Pine Lakes Golf Club,"4101 Singleton Station Rd Rockford, TN 37853"
Pine Oaks Golf Club,"1709 Buffalo Rd Johnson City, TN 37604"
Pine Tree Country Club,"Hwy 412 Lexington, TN 38351"
Pinecrest Country Club,"Hwy 45 Bypass W Trenton, TN 38382"
Poplar Meadows Country Club,"1445 Airport Rd Union City, TN 38261"
Quail Ridge Golf Course,"4055 Altruria Rd Bartlett, TN 38135"
Quarry Golf Course,"1001 Reads Lake Rd Chattanooga, TN 37415"
Ravenwood Golf Club,"1176 Stones River Rd Hermitage, TN 37076"
Richland Country Club,"1 Club Dr Nashville, TN 37215"
Ridgefields Country Club,"2320 Pendragon Rd Kingsport, TN 37660"
Ridgeway Country Club,"9800 Poplar Ave Memphis, TN 38139"
Ridgewood Golf Club,"387 County Rd Athens, TN 37303"
River Islands Golf Club,"9610 Kodak Rd Kodak, TN 37764"
River Run Golf Course,"1701 Tennessee Ave Crossville, TN 38555"
River Trace Golf Course,"5605 Asheville Hwy Greeneville, TN 37743"
Riverbend Country Club,"245 Riverbend Rd Shelbyville, TN 37160"
Riverside Golf Center,"640 Old Hickory Blvd Old Hickory, TN 37138"
Riverside Golf Club,"465 S Parkway W Memphis, TN 38109"
Riverview Golf Course,"101 Club Dr Loudon, TN 37774"
RiverWatch Golf Club,"235 Harbour Greens Place Sparta, TN 38583"
Roan Valley Golf Estates,"Hwy 421 S Mountain City, TN 37683"
Rockwood Municipal Golf Course,"Hwy 70 Rockwood, TN 37854"
Rolling Hills Country Club,"Fain Springs Rd Ripley, TN 38063"
Royal Oaks Country Club,"4411 Legends Way Maryville, TN 37801"
Saddle Creek Golf Club,"1480 Fayetteville Hwy Lewisburg, TN 37091"
Savannah Golf Course,"Florence Rd Savannah, TN 38372"
Scenic View Golf Course,"3992 AEDC Rd Winchester, TN 37398"
Sculley Golf Club,"2152 Westover Rd Jackson, TN 38301"
Selmer Golf & Country Club,"Hwy 64 Selmer, TN 38375"
Sevierville Golf Club,"1444 Old Knoxville Hwy Sevierville, TN 37876"
Shelby Golf Course,"2021 Fatherland St Nashville, TN 37206"
Shiloh Falls Golf Club,"Hwy 57 & Old S Rd Pickwick Dam, TN 38365"
Shiloh Golf Course,"2915 Caney Ranch Rd Adamsville, TN 38310"
Signal Mountain Golf & Country Club,"809 James Blvd Signal Mountain, TN 37377"
Silver Lake Golf Club,"450 Silver Lake Rd Church Hill, TN 37642"
Skyview Country Club,"2351 Skyview Dr Centerville, TN 37033"
Smithville Golf Club,"430 Golf Club Dr Smithville, TN 37166"
